canonical	gbif_match	gbif_full
Calamagrostis purpurea subsp. flexuosa	Calamagrostis purpurea subsp. flexuosa	Calamagrostis purpurea subsp. flexuosa (Rupr.) Soják
Calamagrostis purpurea subsp. langsdorffii	Calamagrostis purpurea subsp. langsdorffii	Calamagrostis purpurea subsp. langsdorffii (Link) Tzvelev
Calamagrostis purpurea subsp. phragmitoides	Calamagrostis purpurea subsp. phragmitoides	Calamagrostis purpurea subsp. phragmitoides (Hartm.) Tzvelev
Calamagrostis purpurea var. gracilis	Calamagrostis purpurea var. gracilis	Calamagrostis purpurea var. gracilis (Litv.) Tzvelev
Calamagrostis rigens	Calamagrostis rigens	Calamagrostis rigens Lindgr.
Calamagrostis rivalis	Calamagrostis rivalis	Calamagrostis rivalis (Torges) H.Scholz
Calamagrostis souliei	Calamagrostis souliei	Calamagrostis souliei Sennen
Calamagrostis sublanceolata	Calamagrostis sublanceolata	Calamagrostis sublanceolata Honda
Calamagrostis subulata	Calamagrostis subulata	Calamagrostis subulata Dumort.
Calamagrostis sugawarai	Calamagrostis sugawarai	Calamagrostis sugawarai Ohwi, 1932
Calamagrostis sylvatica	Calamagrostis sylvatica	Calamagrostis sylvatica Besser
Calamagrostis sylvatica	Calamagrostis sylvatica	Calamagrostis sylvatica (Schrad.) DC.
Calamagrostis tolmatschewii	Calamagrostis tolmatschewii	Calamagrostis tolmatschewii Prob.
Calamagrostis varia	Calamagrostis varia	Calamagrostis varia (Schrad.) Host
Calamagrostis varia	Calamagrostis varia	Calamagrostis varia Bol., 1880
Calamagrostis varia	Calamagrostis varia	Calamagrostis varia Thurb.
Calamagrostis varia subsp. corsica	Calamagrostis varia subsp. corsica	Calamagrostis varia subsp. corsica (Hack.) Rouy
Calamagrostis variegata	Calamagrostis variegata	Calamagrostis variegata With.
Calamagrostis villosa	Calamagrostis villosa	Calamagrostis villosa (Chaix) J.F.Gmel.
Calamagrostis villosa	Calamagrostis villosa	Calamagrostis villosa Mutel
Calamagrostis villosa var. rubicunda	Calamagrostis villosa var. rubicunda	Calamagrostis villosa var. rubicunda (Blytt) B.Fedtsch., 1915
Calamagrostis vilnensis	Calamagrostis vilnensis	Calamagrostis vilnensis Besser
Calamagrostis yatabei	Calamagrostis yatabei	Calamagrostis yatabei Maxim.
Calamintha alpina	Calamintha alpina	Calamintha alpina (L.) Lam.
Calamintha alpina subsp. meridionalis	Calamintha alpina subsp. meridionalis	Calamintha alpina subsp. meridionalis Nyman
Calamintha alpina var. erecta	Calamintha alpina var. erecta	Calamintha alpina var. erecta Lange
Calamintha alpina var. minor	Calamintha alpina var. minor	Calamintha alpina var. minor Willk.
Calamintha arvensis	Calamintha arvensis	Calamintha arvensis Lam.
Calamintha arvensis	Calamintha arvensis	Calamintha arvensis (L.) Garsault
Calamintha bonanovae	Calamintha bonanovae	Calamintha bonanovae Sennen
Calamintha caballeroi	Calamintha caballeroi	Calamintha caballeroi Sennen & Pau
Calamintha clinopodium	Calamintha clinopodium	Calamintha clinopodium Benth.
Calamintha clinopodium	Calamintha clinopodium	Calamintha clinopodium Spenn.
Calamintha confinis	Calamintha confinis	Calamintha confinis Hance
Calamintha georgiana	Calamintha georgiana	Calamintha georgiana (R.M.Harper) Shinners
Calamintha gracilis	Calamintha gracilis	Calamintha gracilis Benth.
Calamintha grandiflora	Calamintha grandiflora	Calamintha grandiflora Pursh
Calamintha grandiflora	Calamintha grandiflora	Calamintha grandiflora (L.) Moench
Calamintha hederacea	Calamintha hederacea	Calamintha hederacea (L.) Scop.
Calamintha nepeta	Calamintha nepeta	Calamintha nepeta (L.) Savi
Calamintha nepeta	Calamintha nepeta	Calamintha nepeta Willk.
Calamintha nepeta subsp. spruneri	Calamintha nepeta subsp. spruneri	Calamintha nepeta subsp. spruneri (Boiss.) Nyman
Calamintha officinalis var. villosissima	Calamintha officinalis var. villosissima	Calamintha officinalis var. villosissima Benth.
Calamintha parviflora	Calamintha parviflora	Calamintha parviflora Lam.
Calamintha rotundifolia	Calamintha rotundifolia	Calamintha rotundifolia (Pers.) Benth.
Calamintha rotundifolia	Calamintha rotundifolia	Calamintha rotundifolia Host
Calamintha vulgaris	Calamintha vulgaris	Calamintha vulgaris H.Karst.
Calamintha vulgaris	Calamintha vulgaris	Calamintha vulgaris Clairv.
Calamintha vulgaris	Calamintha vulgaris	Calamintha vulgaris (L.) Halácsy
Calamintha vulgaris	Calamintha vulgaris	Calamintha vulgaris (L.) Druce
Calamovilfa longifolia	Calamovilfa longifolia	Calamovilfa longifolia Hack.
Calamovilfa longifolia	Calamovilfa longifolia	Calamovilfa longifolia (Hook.) Scribn.
Calamovilfa longifolia var. longifolia	Calamovilfa longifolia var. longifolia	Calamovilfa longifolia var. longifolia
Calandrinia pusilla	Calandrinia pusilla	Calandrinia pusilla Barnéoud
Calathea leopardina	Calathea leopardina	Calathea leopardina (W.Bull) Regel
Calathiana verna subsp. pontica	Calathiana verna subsp. pontica	Calathiana verna subsp. pontica (Soltok.) Á.Löve & D.Löve
Calceolaria crenatiflora	Calceolaria crenatiflora	Calceolaria crenatiflora Cav.
Calceolaria cunninghamii	Calceolaria cunninghamii	Calceolaria cunninghamii Vatke
Calceolaria hollermayeri	Calceolaria hollermayeri	Calceolaria hollermayeri Kraenzl.
Calceolaria polyrrhiza	Calceolaria polyrrhiza	Calceolaria polyrrhiza Cav.
Calendula aurantiaca	Calendula aurantiaca	Calendula aurantiaca Kotschy ex Boiss.
Calendula hydruntina	Calendula hydruntina	Calendula hydruntina Lanza
Calendula officinalis	Calendula officinalis	Calendula officinalis L.
Calendula officinalis var. prolifera	Calendula officinalis var. prolifera	Calendula officinalis var. prolifera Hort.
Calendula ranunculodes	Calendula ranunculodes	Calendula ranunculodes Hort.
Calestania palustris	Calestania palustris	Calestania palustris (L.) K.Pol.
Calla aethiopica	Calla aethiopica	Calla aethiopica L.
Calla palustris	Calla palustris	Calla palustris L.
Calla palustris	Calla palustris	Calla palustris (L.) Raf., 1836
Calliandra bicolor	Calliandra bicolor	Calliandra bicolor Benth.
Calliandra brevipes	Calliandra brevipes	Calliandra brevipes Benth.
Calliandra eriophylla	Calliandra eriophylla	Calliandra eriophylla Benth.
Calliandra eriophylla var. eriophylla	Calliandra eriophylla var. eriophylla	Calliandra eriophylla var. eriophylla
Calliandra falcifera	Calliandra falcifera	Calliandra falcifera Ducke
Calliandra microcalyx	Calliandra microcalyx	Calliandra microcalyx Harms
Calliandra microphylla	Calliandra microphylla	Calliandra microphylla Benth.
Calliandra myriophylla	Calliandra myriophylla	Calliandra myriophylla Benth.
Calliandra parvifolia	Calliandra parvifolia	Calliandra parvifolia (Hook. & Arn.) Speg.
Calliandra peckoltii	Calliandra peckoltii	Calliandra peckoltii Benth.
Calliandra selloi	Calliandra selloi	Calliandra selloi (Spreng.) J.F.Macbr.
Calliandra tweediei	Calliandra tweediei	Calliandra tweediei Benth.
Calliandra tweediei	Calliandra tweediei	Calliandra tweediei Hook.
Calligonum aphyllum	Calligonum aphyllum	Calligonum aphyllum (Pall.) Gürke
Calligonum calliphysa	Calligonum calliphysa	Calligonum calliphysa Bunge
Calligonum caput-medusae	Calligonum caput-medusae	Calligonum caput-medusae Schrenk
Calligonum junceum	Calligonum junceum	Calligonum junceum (Fisch. & C.A.Mey.) Litv.
Calligonum leucocladum	Calligonum leucocladum	Calligonum leucocladum (Schrenk) Bunge
Calligonum murex	Calligonum murex	Calligonum murex Bunge
Calligonum polygonoides	Calligonum polygonoides	Calligonum polygonoides L.
Calliopsis tinctoria	Calliopsis tinctoria	Calliopsis tinctoria (Nutt.) DC.
Callisia rosea	Callisia rosea	Callisia rosea (Vent.) D.R.Hunt
Callistachys pyrenaica	Callistachys pyrenaica	Callistachys pyrenaica (Wahlenb.) Heuff.
Callistephus chinensis	Callistephus chinensis	Callistephus chinensis (L.) Nees
Callitriche aquatica subsp. hamulata	Callitriche aquatica subsp. hamulata	Callitriche aquatica subsp. hamulata (Kütz. ex W.D.J.Koch) Bonnier & Layens
Callitriche brutia subsp. hamulata	Callitriche brutia subsp. hamulata	Callitriche brutia subsp. hamulata (Kütz. ex W.D.J.Koch) Stace
Callitriche brutia subsp. hamulata	Callitriche brutia subsp. hamulata	Callitriche brutia subsp. hamulata (Kütz. ex Koch) O.Bolòs & Vigo
Callitriche brutia var. hamulata	Callitriche brutia var. hamulata	Callitriche brutia var. hamulata (Kutz ex W.D.J.Koch) Landsdown
Callitriche brutia var. hamulata	Callitriche brutia var. hamulata	Callitriche brutia var. hamulata (Kütz. ex W.D.J.Koch) Lansdown
Callitriche cophocarpa	Callitriche cophocarpa	Callitriche cophocarpa Sendtn.
Callitriche cophocarpa	Callitriche cophocarpa	Callitriche cophocarpa Sendtner ex Hegelmaier
Callitriche hamulata	Callitriche hamulata	Callitriche hamulata Kutz.
Callitriche hamulata	Callitriche hamulata	Callitriche hamulata Koch
Callitriche intermedia	Callitriche intermedia	Callitriche intermedia Hoffm.
Callitriche intermedia subsp. hamulata	Callitriche intermedia subsp. hamulata	Callitriche intermedia subsp. hamulata (Kütz. ex W.D.J.Koch) Clapham
Callitriche minima	Callitriche minima	Callitriche minima (L.) Hoppe
Callitriche palustris	Callitriche palustris	Callitriche palustris L.
Callitriche palustris var. palustris	Callitriche palustris var. palustris	Callitriche palustris var. palustris
Callitriche polymorpha	Callitriche polymorpha	Callitriche polymorpha Lönnr.
Callitriche stagnalis	Callitriche stagnalis	Callitriche stagnalis Scop.
Callitris articulata	Callitris articulata	Callitris articulata Gordon
Callitris articulata	Callitris articulata	Callitris articulata (Vahl) Murb.
Callitris calcarata	Callitris calcarata	Callitris calcarata R.Br. ex Mirb.
Callitris columellaris	Callitris columellaris	Callitris columellaris F.Muell.
Callitris cupressiformis	Callitris cupressiformis	Callitris cupressiformis F.Muell.
Callitris endlicheri	Callitris endlicheri	Callitris endlicheri (Parl.) F.M.Bailey
Callitris glauca	Callitris glauca	Callitris glauca R.Br. ex R.T.Baker & H.G.Smith
Callitris glaucophylla	Callitris glaucophylla	Callitris glaucophylla J.Thompson & L.A.S.Johnson
Callitris intratropica	Callitris intratropica	Callitris intratropica R.T.Baker & H.G.Smith
Callitris oblonga	Callitris oblonga	Callitris oblonga Rich. & A.Rich.
Callitris oblonga subsp. corangensis	Callitris oblonga subsp. corangensis	Callitris oblonga subsp. corangensis K.D.Hill
Callitris oblonga subsp. parva	Callitris oblonga subsp. parva	Callitris oblonga subsp. parva K.D.Hill
Callitris pyramidalis	Callitris pyramidalis	Callitris pyramidalis (Miq.) J.E.Piggin & J.J.Bruhl
Callitris quadrivalvis	Callitris quadrivalvis	Callitris quadrivalvis Vent.
Callitris rhomboidea	Callitris rhomboidea	Callitris rhomboidea R.Br. ex Rich. & A.Rich.
Callitris tasmanica	Callitris tasmanica	Callitris tasmanica (Benth.) R.T.Baker & H.G.Smith
Callitropsis arizonica	Callitropsis arizonica	Callitropsis arizonica (Greene) D.P.Little
Callitropsis macrocarpa	Callitropsis macrocarpa	Callitropsis macrocarpa (Hartw.) D.P.Little
Callitropsis nootkatensis	Callitropsis nootkatensis	Callitropsis nootkatensis (D.Don) Oerst.
Callitropsis nootkatensis	Callitropsis nootkatensis	Callitropsis nootkatensis (D.Don) D.P.Little
Callitropsis nootkatensis	Callitropsis nootkatensis	Callitropsis nootkatensis (D.Don) Oerst. ex Florin
Calocedrus decurrens	Calocedrus decurrens	Calocedrus decurrens (Torr.) Florin
Calophyllum hibbardii	Calophyllum hibbardii	Calophyllum hibbardii Elmer
Calophyllum lancifolium	Calophyllum lancifolium	Calophyllum lancifolium Elmer
Calophyllum paludosum	Calophyllum paludosum	Calophyllum paludosum C.T.White
Calophyllum sclerophyllum	Calophyllum sclerophyllum	Calophyllum sclerophyllum Vesque
Calophyllum solomonense	Calophyllum solomonense	Calophyllum solomonense A.C.Sm.
Calophyllum soulattri	Calophyllum soulattri	Calophyllum soulattri Burm.fil.
Calophyllum warburgii	Calophyllum warburgii	Calophyllum warburgii Engl.
Calophyllum zschokkei	Calophyllum zschokkei	Calophyllum zschokkei Elmer
Calopogonium brachycarpum	Calopogonium brachycarpum	Calopogonium brachycarpum (Benth.) Benth. ex Hemsl.
Calopogonium caeruleum	Calopogonium caeruleum	Calopogonium caeruleum (Benth.) Hemsl., 1880
Calopogonium caeruleum	Calopogonium caeruleum	Calopogonium caeruleum (Benth.) C.Wright
Calopogonium caeruleum	Calopogonium caeruleum	Calopogonium caeruleum (Benth.) Sauvalle
Calopogonium flavidum	Calopogonium flavidum	Calopogonium flavidum Brandegee
Calopogonium mucunoides	Calopogonium mucunoides	Calopogonium mucunoides Desv.
Calopogonium orthocarpum	Calopogonium orthocarpum	Calopogonium orthocarpum Urb.
Calosanthes indica	Calosanthes indica	Calosanthes indica (L.) Blume
Calotropis gigantea	Calotropis gigantea	Calotropis gigantea (L.) W.T.Aiton
Calotropis gigantea	Calotropis gigantea	Calotropis gigantea (L.) R.Br. ex Schult.
Calotropis gigantea	Calotropis gigantea	Calotropis gigantea (L.) R.Br.
Calotropis gigantea	Calotropis gigantea	Calotropis gigantea (L.) Dryand.
Caltha alpestris	Caltha alpestris	Caltha alpestris Schott, Nyman & Kotschy
Caltha alpina	Caltha alpina	Caltha alpina Schur
Caltha arctica	Caltha arctica	Caltha arctica R.Br.
Caltha arctica subsp. caespitosa	Caltha arctica subsp. caespitosa	Caltha arctica subsp. caespitosa (Schipcz) Khokhr.
Caltha arctica subsp. sibirica	Caltha arctica subsp. sibirica	Caltha arctica subsp. sibirica (Regel) Tolm.
Caltha asarifolia	Caltha asarifolia	Caltha asarifolia DC.
Caltha caespitosa	Caltha caespitosa	Caltha caespitosa Schipcz.
Caltha confinis	Caltha confinis	Caltha confinis Greene
Caltha cornuta	Caltha cornuta	Caltha cornuta Schott, Nyman & Kotschy
Caltha crenata	Caltha crenata	Caltha crenata Belyaeva & Sipliv.
Caltha flabellifolia	Caltha flabellifolia	Caltha flabellifolia Pursh
Caltha laeta	Caltha laeta	Caltha laeta Schott, Nyman & Kotschy
Caltha membranacea	Caltha membranacea	Caltha membranacea (Turcz.) Schipcz.
Caltha minor	Caltha minor	Caltha minor Mill.
Caltha minor subsp. arctica	Caltha minor subsp. arctica	Caltha minor subsp. arctica (R.Br.) Á. & D.Löve
Caltha palustris	Caltha palustris	Caltha palustris L.
Caltha palustris subsp. araneosa	Caltha palustris subsp. araneosa	Caltha palustris subsp. araneosa (Steenis) Meijden
Caltha palustris subsp. arctica	Caltha palustris subsp. arctica	Caltha palustris subsp. arctica (R.Br.) Hultén
Caltha palustris subsp. asarifolia	Caltha palustris subsp. asarifolia	Caltha palustris subsp. asarifolia (DC.) Hultén
Caltha palustris subsp. membranacea	Caltha palustris subsp. membranacea	Caltha palustris subsp. membranacea (Turcz.) Hultén
Caltha palustris subsp. minor	Caltha palustris subsp. minor	Caltha palustris subsp. minor (Mill.) Vorosch.
Caltha palustris subsp. nymphiifolia	Caltha palustris subsp. nymphiifolia	Caltha palustris subsp. nymphiifolia Vorosch. & Gorovoj
Caltha palustris subsp. palustris	Caltha palustris subsp. palustris	Caltha palustris subsp. palustris
Caltha palustris subsp. radicans	Caltha palustris subsp. radicans	Caltha palustris subsp. radicans (T.F.Forst.) Hook.
Caltha palustris subsp. radicans	Caltha palustris subsp. radicans	Caltha palustris subsp. radicans (Foster) Syme
Caltha palustris subsp. radicans	Caltha palustris subsp. radicans	Caltha palustris subsp. radicans (Forst.) Beck
Caltha palustris subsp. renifolia	Caltha palustris subsp. renifolia	Caltha palustris subsp. renifolia (Tolm.) Luferov
Caltha palustris subsp. sibirica	Caltha palustris subsp. sibirica	Caltha palustris subsp. sibirica (Regel) Hultén
Caltha palustris subsp. sibirica	Caltha palustris subsp. sibirica	Caltha palustris subsp. sibirica (Regel) Luferov
Caltha palustris subsp. thracica	Caltha palustris subsp. thracica	Caltha palustris subsp. thracica Velen.
Caltha palustris subsp. violacea	Caltha palustris subsp. violacea	Caltha palustris subsp. violacea (Khokhr.) Luferov
Caltha palustris var. araneosa	Caltha palustris var. araneosa	Caltha palustris var. araneosa van Steenis
Caltha palustris var. arctica	Caltha palustris var. arctica	Caltha palustris var. arctica (R.Br.) Huth
Caltha palustris var. asarifolia	Caltha palustris var. asarifolia	Caltha palustris var. asarifolia (DC.) Huth
Caltha palustris var. asarifolia	Caltha palustris var. asarifolia	Caltha palustris var. asarifolia (DC.) Rothr.
Caltha palustris var. enkoso	Caltha palustris var. enkoso	Caltha palustris var. enkoso H.Hara
Caltha palustris var. flabellifolia	Caltha palustris var. flabellifolia	Caltha palustris var. flabellifolia (Pursh) Torr. & A.Gray
Caltha palustris var. minor	Caltha palustris var. minor	Caltha palustris var. minor (Mill.) DC.
Caltha palustris var. nipponica	Caltha palustris var. nipponica	Caltha palustris var. nipponica H.Hara
Caltha palustris var. palustris	Caltha palustris var. palustris	Caltha palustris var. palustris
Caltha palustris var. polypetala	Caltha palustris var. polypetala	Caltha palustris var. polypetala (Hochst. ex Lorent) Huth
Caltha palustris var. radicans	Caltha palustris var. radicans	Caltha palustris var. radicans (T.F.Forster) Hook.
Caltha palustris var. radicans	Caltha palustris var. radicans	Caltha palustris var. radicans (T.F.Forst.) Beck
Caltha palustris var. sibirica	Caltha palustris var. sibirica	Caltha palustris var. sibirica Regel
Caltha palustris var. stagnalis	Caltha palustris var. stagnalis	Caltha palustris var. stagnalis Rouy & Foucaud
Caltha polypetala	Caltha polypetala	Caltha polypetala Hochst.
Caltha polypetala	Caltha polypetala	Caltha polypetala Hochst. ex Lorent
Caltha procumbens	Caltha procumbens	Caltha procumbens Huth
Caltha radicans	Caltha radicans	Caltha radicans T.F.Forst.
Caltha serotina	Caltha serotina	Caltha serotina Tolm.
Caltha sibirica	Caltha sibirica	Caltha sibirica Makino
Caltha sibirica	Caltha sibirica	Caltha sibirica (Regel) Tolm.
Caltha silvestris	Caltha silvestris	Caltha silvestris Vorosch.
Caltha violacea	Caltha violacea	Caltha violacea Khokhr.
Calyptranthes guineensis	Calyptranthes guineensis	Calyptranthes guineensis Willd.
Calyptranthes oneillii	Calyptranthes oneillii	Calyptranthes oneillii Lundell
Calyptranthes zuzygium	Calyptranthes zuzygium	Calyptranthes zuzygium (L.) Sw.
Calyptranthes zuzygium	Calyptranthes zuzygium	Calyptranthes zuzygium Linnaeus, 1759
Calystegia sepium	Calystegia sepium	Calystegia sepium (L.) R.Br.
Calystegia sepium var. sepium	Calystegia sepium var. sepium	Calystegia sepium var. sepium
Calystegia soldanella	Calystegia soldanella	Calystegia soldanella (L.) Roem. & Schult.
Calystegia soldanella	Calystegia soldanella	Calystegia soldanella (L.) R.Br.
Camelina aquatica	Camelina aquatica	Camelina aquatica Brot.
Camelina confusa	Camelina confusa	Camelina confusa Rouy & Foucaud
Camelina microcarpa	Camelina microcarpa	Camelina microcarpa Andrz. ex DC.
Camelina microcarpa	Camelina microcarpa	Camelina microcarpa Andrz.
Camelina microcarpa subsp. sylvestris	Camelina microcarpa subsp. sylvestris	Camelina microcarpa subsp. sylvestris (Wallr.) Hiitonen
Camelina sativa	Camelina sativa	Camelina sativa Kotschy
Camelina sativa	Camelina sativa	Camelina sativa (L.) Crantz
Camelina sativa subsp. microcarpa	Camelina sativa subsp. microcarpa	Camelina sativa subsp. microcarpa (Andrz. ex DC.) Hegi & E.Schmid
Camelina sativa subsp. microcarpa	Camelina sativa subsp. microcarpa	Camelina sativa subsp. microcarpa (Andrz. ex DC.) Thell.
