canonical	gbif_match	gbif_full
Amorpha fruticosa var. tennesseensis	Amorpha fruticosa var. tenesseensis	Amorpha fruticosa var. tenesseensis (Schult.) E.J.Palmer
Crepis vesicaria var. taraxacifolia	Crepis vesicaria var. taraxicifolia	Crepis vesicaria var. taraxicifolia (Thuill.) Thell.
Armeniaca mandshurica	Armeniaca manshurica	Armeniaca manshurica (Maxim.) Skvortsov
Dupontia fisheri var. fisheri	Dupontia fischeri var. fischeri	Dupontia fischeri var. fischeri
Eucalyptus forestiana	Eucalyptus forrestiana	Eucalyptus forrestiana Diels
Scilla nonscripta	Scilla non-scripta	Scilla non-scripta (L.) Hoffmanns. & Link
Calamagrostis epigeios var. macra	Calamagrostis epigejos var. macra	Calamagrostis epigejos var. macra Trin.
Cyperus pumilis var. patens	Cyperus pumilus var. patens	Cyperus pumilus var. patens (Vahl) Kük.
Gnaphalium sylvaticum var. macrostachys	Gnaphalium sylvaticum var. macrostachyum	Gnaphalium sylvaticum var. macrostachyum Ledeb.
Hieracium pilosella subsp. trichophorum	Hieracium pilosella subsp. trichoforum	Hieracium pilosella subsp. trichoforum
Polygonum lapathifolium var. incanum	Polygonum lapathifolium var. incarnatum	Polygonum lapathifolium var. incarnatum (Elliott) S.Watson
Brassica rapa subsp. oleifera	Brassica rapa subsp. olifera	Brassica rapa subsp. olifera DC.
Bikinia le-testui subsp. le-testui	Bikinia letestui subsp. letestui	Bikinia letestui subsp. letestui
Achillea millefolium var. aspleniifolia	Achillea millefolium var. asplenifolia	Achillea millefolium var. asplenifolia (Vent.) Farw.
Annona cherimola	Annona cherimolia	Annona cherimolia Mill., 1768
Calamagrostis epigeios var. glauca	Calamagrostis epigejos var. glauca	Calamagrostis epigejos var. glauca Hartm.
Chenopodium botryoides	Chenopodium botryodes	Chenopodium botryodes Sm.
Corydalis conorhiza	Corydalis conorrhiza	Corydalis conorrhiza Ledeb.
Draba boerhaavii	Draba boerhavii	Draba boerhavii H.C.Hall
Epilobium argentium	Epilobium argentinum	Epilobium argentinum Sam.
Impatiens walleriana	Impatiens wallerana	Impatiens wallerana Hook.f., 1868
Juniperus sabina var. davurica	Juniperus sabina var. dauurica	Juniperus sabina var. dauurica (Pall.) Farjon
Lactuca augustana	Lactuca augustanae	Lactuca augustanae All., 1773
Lemna polyrrhiza	Lemna polyrhiza	Lemna polyrhiza L.
Lepidium draba subsp. draba	Lepidium draba subsp. eudraba	Lepidium draba subsp. eudraba Thell.
Rapanea myrioides	Rapanea myricoides	Rapanea myricoides (Schltdl.) Lundell
Rubus ulmifolius	Rubus ulmifolis	Rubus ulmifolis Schott
Salix arctica var. brownii	Salix arctica var. brownei	Salix arctica var. brownei Andersson
Salvia verbenaca	Salvia verbenacea	Salvia verbenacea L.
Themeda forskalii	Themeda forskaolii	Themeda forskaolii Hack. ex Duthie
Thymus serpyllum	Thymus serphyllum	Thymus serphyllum L.
Trichilia casaretti	Trichilia casarettoi	Trichilia casarettoi C.DC.
Tulipa gesneriana	Tulipa gesnerana	Tulipa ×gesnerana L.
