dlist,elist,genus_jw,se_jw,gender_switch
Acacia palmeri,Acacia palmeri,1.0,1.0,False
Acacia phlebophylla,Acacia phlebophylla,1.0,1.0,False
Acacia salicina,Acacia salicina,1.0,1.0,False
Acacia ulicifolia,Acacia ulicifolia,1.0,1.0,False
Acacia glandulosa,Acacia glandulosa,1.0,1.0,False
Acacia notabilis,Acacia notabilis,1.0,1.0,False
Acacia oshanesii,Acacia oshanesii,1.0,1.0,False
Acacia falciformis,Acacia falciformis,1.0,1.0,False
Acacia sieberiana,Acacia sieberiana,1.0,1.0,False
Acacia microcarpa,Acacia microcarpa,1.0,1.0,False
Acacia strongylophylla,Acacia strongylophylla,1.0,1.0,False
Acacia auriculiformis,Acacia auriculiformis,1.0,1.0,False
Acacia longifolia,Acacia longifolia,1.0,1.0,False
Acacia multipinnata,Acacia multispicata,1.0,0.944444444444,False
Acacia pubescens,Acacia pubescens,1.0,1.0,False
Acacia marramamba,Acacia marramamba,1.0,1.0,False
Acacia pravifolia,Acacia parvifolia,1.0,0.97,False
Acacia koa,Acacia koa,1.0,1.0,False
Acacia thomasii,Acacia thomasii,1.0,1.0,False
Acacia umbellata,Acacia umbellata,1.0,1.0,False
Acacia ptychoclada,Acacia ptychoclada,1.0,1.0,False
Acacia caleyi,Acacia caleyi,1.0,1.0,False
Acacia leptoclada,Acacia leptoclada,1.0,1.0,False
Acacia edulis,Acacia edulis,1.0,1.0,False
Acacia neriifolia,Acacia neriifolia,1.0,1.0,False
Acacia aciphylla,Acacia aciphylla,1.0,1.0,False
Acacia polybotrya,Acacia polybotrya,1.0,1.0,False
Acacia dallachiana,Acacia dallachiana,1.0,1.0,False
Acacia gibbosa,Acacia gibbosa,1.0,1.0,False
Acacia microbotrya,Acacia microbotrya,1.0,1.0,False
Acacia binervata,Acacia binervata,1.0,1.0,False
Acacia chrysocephala,Acacia chrysocephala,1.0,1.0,False
Acacia kirkii,Acacia kirkii,1.0,1.0,False
Acacia triptera,Acacia triptera,1.0,1.0,False
Acacia rhodophloia,Acacia rhodophloia,1.0,1.0,False
Acacia burkei,Acacia burkei,1.0,1.0,False
Acacia loroloba,Acacia loroloba,1.0,1.0,False
Acacia drepanolobium,Acacia drepanolobium,1.0,1.0,False
