"gbif","myco","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Alnus serrata","Alnus serrulata",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Aralia spinulosa","Aralia spinosa",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Berberis serrata","Berberis serrulata",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Centaurea degeni","Centaurea degeniana",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Gentiana regeli","Gentiana regeliana",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Hieracium echinodes","Hieracium echioides",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Pyrus crenulata","Pyrus crenata",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Serratula spinulosa","Serratula spinosa",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Viola cordata","Viola cordulata",1,0.9555555556,"False","FALSE","TRUE","FALSE",1
"Leucopogon juniperoides","Leucopogon juniperinus",1,0.9568181818,"False","FALSE","TRUE","FALSE",1
"Tuberaria macrocephala","Tuberaria macrosepala",1,0.9570707071,"False","FALSE","TRUE","FALSE",1
"Lupinus thermis","Lupinus termis",1,0.9571428571,"False","FALSE","TRUE","FALSE",1
"Rosa gentiliana","Rosa gentilis",1,0.9575,"False","FALSE","TRUE","FALSE",1
"Rosa timbalii","Rosa timbaliana",1,0.9575,"False","FALSE","TRUE","FALSE",1
"Salix thomasii","Salix thomasiana",1,0.9575,"False","FALSE","TRUE","FALSE",1
"Shorea beccarii","Shorea beccariana",1,0.9575,"False","FALSE","TRUE","FALSE",1
"Syringa giraldiana","Syringa giraldii",1,0.9575,"False","FALSE","TRUE","FALSE",1
"Mentha virescens","Mentha viridescens",1,0.9575757576,"False","FALSE","TRUE","FALSE",1
"Convolvulus fruticulosus","Convolvulus fruticosus",1,0.9577777778,"False","FALSE","TRUE","FALSE",1
"Astragalus rigidus","Astragalus frigidus",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Erigeron rigidus","Erigeron frigidus",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Ficus scabrida","Ficus scabra",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Hedysarum capitellatum","Hedysarum capitatum",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Impatiens ecornuta","Impatiens cornuta",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Lycium barbatum","Lycium barbarum",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Polygonum acidum","Polygonum acidulum",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Rosa glaucina","Rosa glauca",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Rubus parvus","Rubus parvulus",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Salix capreola","Salix caprea",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Sedum rigidum","Sedum frigidum",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Silene scabrida","Silene scabra",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Solidago rigidula","Solidago rigida",1,0.9583333333,"False","FALSE","TRUE","FALSE",1
"Alsine brevifolia","Alsine breviflora",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Arenaria tenuiflora","Arenaria tenuifolia",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Calamagrostis longiflora","Calamagrostis longifolia",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Grewia parvifolia","Grewia parviflora",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Hedysarum coronatum","Hedysarum coronarium",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Impatiens parvifolia","Impatiens parviflora",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Polycarpaea breviflora","Polycarpaea brevifolia",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Quercus magnifolia","Quercus magnifica",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Scutellaria paucifolia","Scutellaria pauciflora",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Tagetes tenuiflora","Tagetes tenuifolia",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Tilia parviflora","Tilia parvifolia",1,0.9585185185,"False","FALSE","TRUE","FALSE",1
"Pinus monteragensis","Pinus montereyensis",1,0.958974359,"False","FALSE","TRUE","FALSE",1
"Acacia adenophora","Acacia adenopa",1,0.96,"False","TRUE","FALSE","FALSE",1
"Carex halliana","Carex halleriana",1,0.96,"False","TRUE","FALSE","FALSE",1
"Carex microstyla","Carex microstoma",1,0.96,"False","TRUE","FALSE","FALSE",1
"Elymus marginatus","Elymus marginalis",1,0.96,"False","TRUE","FALSE","FALSE",1
"Epilobium gracilipes","Epilobium gracile",1,0.96,"False","TRUE","FALSE","FALSE",1
"Fuirena striatella","Fuirena striata",1,0.96,"False","TRUE","FALSE","FALSE",1
"Geranium chilloense","Geranium chilense",1,0.96,"False","TRUE","FALSE","FALSE",1
"Hieracium fuscatum","Hieracium fuscoatrum",1,0.96,"False","FALSE","FALSE","FALSE",1
"Lycium gracile","Lycium gracilipes",1,0.96,"False","FALSE","FALSE","FALSE",1
"Opuntia megalantha","Opuntia megacantha",1,0.96,"False","TRUE","FALSE","FALSE",1
"Polygonum gracilipes","Polygonum gracile",1,0.96,"False","TRUE","FALSE","FALSE",1
"Prunus cerasia","Prunus cerasifera",1,0.96,"False","FALSE","FALSE","FALSE",1
"Rubus perspicuus","Rubus persicus",1,0.96,"False","TRUE","FALSE","FALSE",1
"Rubus bracteatus","Rubus bractealis",1,0.96,"False","FALSE","FALSE","FALSE",1
"Saxifraga montanella","Saxifraga montana",1,0.96,"False","TRUE","FALSE","FALSE",1
"Taraxacum gibberum","Taraxacum gibbiferum",1,0.96,"False","TRUE","FALSE","FALSE",1
"Carex chlorosaccus","Carex chlorostachys",1,0.9602564103,"False","TRUE","FALSE","FALSE",1
"Poa dolichophylla","Poa dolichochyra",1,0.9602564103,"False","TRUE","FALSE","FALSE",1
"Festuca pseudovaria","Festuca pseudovina",1,0.9607070707,"False","TRUE","FALSE","FALSE",1
"Euphorbia nelii","Euphorbia nelsii",1,0.9611111111,"False","TRUE","FALSE","FALSE",1
"Hieracium salviifolium","Hieracium salicifolium",1,0.9611111111,"False","TRUE","FALSE","FALSE",1
"Aconitum bulbilliferum","Aconitum bulbiferum",1,0.9615384615,"False","TRUE","FALSE","FALSE",1
"Crepis caucasigena","Crepis caucasica",1,0.9616161616,"False","TRUE","FALSE","FALSE",1
"Festuca atlantica","Festuca atlantigena",1,0.9616161616,"False","TRUE","FALSE","FALSE",1
"Mentha bracteosa","Mentha bracteolata",1,0.9616161616,"False","FALSE","FALSE","FALSE",1
"Rubus fraternalis","Rubus fraternus",1,0.9616161616,"False","TRUE","FALSE","FALSE",1
"Sorbus caucasigena","Sorbus caucasica",1,0.9616161616,"False","FALSE","FALSE","FALSE",1
"Androsace alaica","Androsace altaica",1,0.9619047619,"False","TRUE","FALSE","FALSE",1
"Astragalus clusii","Astragalus clausii",1,0.9619047619,"False","TRUE","FALSE","FALSE",1
"Carex fucata","Carex furcata",1,0.9619047619,"False","TRUE","FALSE","FALSE",1
"Celastrus albatus","Celastrus alatus",1,0.9619047619,"False","FALSE","FALSE","FALSE",1
"Cirsium acaulos","Cirsium acaulon",1,0.9619047619,"False","FALSE","FALSE","FALSE",1
"Lactuca alaica","Lactuca altaica",1,0.9619047619,"False","TRUE","FALSE","FALSE",1
"Salvia exserta","Salvia extersa",1,0.9619047619,"False","TRUE","FALSE","FALSE",1
"Veronica fuhsii","Veronica fuchsii",1,0.9619047619,"False","FALSE","FALSE","FALSE",1
"Colchicum crocifolium","Colchicum crociflorum",1,0.9624242424,"False","TRUE","FALSE","FALSE",1
"Cynoglossum parviflorum","Cynoglossum parvifolium",1,0.9624242424,"False","TRUE","FALSE","FALSE",1
"Cyperus breviflorus","Cyperus brevifolius",1,0.9624242424,"False","FALSE","FALSE","FALSE",1
"Epilobium parvifolium","Epilobium parviflorum",1,0.9624242424,"False","FALSE","FALSE","FALSE",1
"Hieracium argentarium","Hieracium argentinum",1,0.9624242424,"False","TRUE","FALSE","FALSE",1
"Hieracium parvifolium","Hieracium parviflorum",1,0.9624242424,"False","FALSE","FALSE","FALSE",1
"Lupinus multiflorus","Lupinus multifolius",1,0.9624242424,"False","TRUE","FALSE","FALSE",1
"Poa schoenoides","Poa schoenites",1,0.9624242424,"False","FALSE","FALSE","FALSE",1
"Potamogeton pauciflorus","Potamogeton paucifolius",1,0.9624242424,"False","TRUE","FALSE","FALSE",1
"Rubus acutiflorus","Rubus acutifolius",1,0.9624242424,"False","FALSE","FALSE","FALSE",1
"Solanum parvifolium","Solanum parviflorum",1,0.9624242424,"False","FALSE","FALSE","FALSE",1
"Sonchus brachylobus","Sonchus brachyotus",1,0.9624242424,"False","TRUE","FALSE","FALSE",1
"Thymus parviflorus","Thymus parvifolius",1,0.9624242424,"False","TRUE","FALSE","FALSE",1
"Rubus spiculus","Rubus siculus",1,0.9625,"False","TRUE","FALSE","FALSE",1
"Hieracium pseudopallidum","Hieracium pseudopellucidum",1,0.9625686813,"False","TRUE","FALSE","FALSE",1
"Aconitum nemorum","Aconitum nemorosum",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Cerastium glabrum","Cerastium glabratum",1,0.962962963,"False","FALSE","FALSE","FALSE",1
"Cyperus eglobosus","Cyperus globosus",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Epilobium glaucum","Epilobium glaucinum",1,0.962962963,"False","TRUE","FALSE","FALSE",1
