dlist,elist,genus_jw,se_jw,gender_switch
Fusanus compressus,Fusanus compressus,1.0,1.0,False
Gaultheria pilosa,Gaultheria pilosa,1.0,1.0,False
Gentiana minima,Gentiana minima,1.0,1.0,False
Gentiana firma,Gentiana firma,1.0,1.0,False
Geranium emarginatum,Geranium marginatum,1.0,0.969696969697,False
Geunsia acuminatissima,Geunsia acuminatissima,1.0,1.0,False
Gifola spatulata,Gifola spathulata,1.0,0.98,False
Gossypium javanicum,Gossypium javanicum,1.0,1.0,False
Grewia nervosa,Grewia nervosa,1.0,1.0,False
Grias fendlerii,Grias fendleri,1.0,0.992592592593,True
Griffithia eucantha,Griffithia eucantha,1.0,1.0,False
Guapira rotundata,Guapira rotundata,1.0,1.0,False
Guarea rusbyi,Guarea rusbyi,1.0,1.0,False
Guatteria prinoides,Guatteria prinoides,1.0,1.0,False
Gymnosporia goetzeana,Gymnosporia goetzeana,1.0,1.0,False
Gymnosporia fournieri,Gymnosporia fournieri,1.0,1.0,False
Gypsophila arenicola,Gypsophila arenicola,1.0,1.0,False
Haloragis aenea,Haloragis aenea,1.0,1.0,False
Hammada hispanica,Hammada hispanica,1.0,1.0,False
Hartiana tenella,Hartiana tenella,1.0,1.0,False
Hebecoccus ferrugineus,Hebecoccus ferrugineus,1.0,1.0,False
Helleborus foetida,Helleborus foetidus,1.0,0.947619047619,True
Helleborus latifolius,Helleborus altifolius,1.0,0.966666666667,False
Hemizonia macrocephala,Hemizonia macrocephala,1.0,1.0,False
Hesperocyparis benthamii,Hesperocyparis benthamii,1.0,1.0,False
Hesperocyparis glabra,Hesperocyparis glabra,1.0,1.0,False
Heteropteris platyptera,Heteropterys platyptera,1.0,1.0,False
Hewittia bicolor,Hewittia bicolor,1.0,1.0,False
Hibiscus verrucosus,Hibiscus verrucosus,1.0,1.0,False
Hibiscus richardsonii,Hibiscus richardsonii,1.0,1.0,False
Hieracium atramentosum,Hieracium atramentarium,1.0,0.973504273504,False
Hippocratea hilariana,Hippocratea hilariana,1.0,1.0,False
Hocquartia manshuriensis,Hocquartia manshuriensis,1.0,1.0,False
Holboellia cuneata,Holboellia cuneata,1.0,1.0,False
Hoslundia verticillata,Hoslundia verticillata,1.0,1.0,False
Hoteia japonica,Hoteia japonica,1.0,1.0,False
Humea ozothamnoides,Humea ozothamnoides,1.0,1.0,False
Hydrangea lehmannii,Hydrangea lehmannii,1.0,1.0,False
Hyoscyamus minor,Hyoscyamus minor,1.0,1.0,False
Hypericum venosum,Hypericum venosum,1.0,1.0,False
Ilex dahoon,Ilex dahoon,1.0,1.0,False
Ilex othera,Ilex othera,1.0,1.0,False
Isanthus coeruleus,Isanthus coeruleus,1.0,1.0,False
Iseilema membranacea,Iseilema membranaceum,1.0,1.0,True
Isnardia microcarpa,Isnardia microcarpa,1.0,1.0,False
Ixora valetoniana,Ixora valetoniana,1.0,1.0,False
Jaracatia corumbensis,Jacaratia corumbensis,0.97037037037,1.0,False
Jateorhiza strigosa,Jateorhiza strigosa,1.0,1.0,False
Juncella submersa,Juncella submersa,1.0,1.0,False
Juncoides subcongestum,Juncoides subcongesta,1.0,1.0,True
Juncus loureiranus,Juncus loureiroana,1.0,0.963636363636,False
Juncus angustifolius,Juncus angustifolius,1.0,1.0,False
Juncus strictus,Juncus strictus,1.0,1.0,False
Juncus plebeius,Juncus plebeius,1.0,1.0,False
Juncus campestre,Juncus campestris,1.0,0.979259259259,True
Juncus prolifer,Juncus prolifer,1.0,1.0,False
Juncus trichodes,Juncus trichodes,1.0,1.0,False
Juncus divaricatus,Juncus divaricatus,1.0,1.0,False
Juniperus hibernica,Juniperus hibernica,1.0,1.0,False
Kalaharia spinescens,Kalaharia spinescens,1.0,1.0,False
Klainedoxa lanceifolia,Klainedoxa lanceifolia,1.0,1.0,False
Kohlrauschia saxifraga,Kohlrauschia saxifraga,1.0,1.0,False
Krameria cistoides,Krameria cistoidea,1.0,0.985185185185,False
Lachnostachys walcottii,Lachnostachys walcottii,1.0,1.0,False
Lachnostachys rodwayana,Lachnostachys rodwayana,1.0,1.0,False
Lagenaria idolatrica,Lagenaria idolatrica,1.0,1.0,False
Lasjia claudiensis,Lasjia claudiensis,1.0,1.0,False
Lasjia hildebrandii,Lasjia hildebrandii,1.0,1.0,False
Laurus barbujana,Laurus barbujana,1.0,1.0,False
Leea nova-guineensis,Leea novoguineensis,1.0,0.952222222222,False
Leersia aspera,Leersia asperrima,1.0,0.944444444444,False
