"gbif","tank","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Acacia heterophylla","Acacia heterophylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia holosericea","Acacia holosericea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia horrida","Acacia horrida",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia humifusa","Acacia humifusa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia idiomorpha","Acacia idiomorpha",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia inaequilatera","Acacia inaequilatera",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia inaequiloba","Acacia inaequiloba",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia incurva","Acacia incurva",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia insignis","Acacia insignis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia insularis","Acacia insularum",1,0.955555555556,"False",FALSE,TRUE,FALSE,FALSE
"Acacia intermedia","Acacia intermedia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia intertexta","Acacia intertexta",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia irrorata","Acacia irrorata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia johnsonii","Acacia johnsonii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia jonesii","Acacia jonesii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia kauaiensis","Acacia kauaiensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia koa","Acacia koa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia kraussiana","Acacia kraussiana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia lamprocarpa","Acacia lamprocarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia lasiocalyx","Acacia lasiocalyx",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia lateriticola","Acacia lateriticola",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia latisepala","Acacia latisepala",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia latisiliqua","Acacia latisiliqua",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia lauta","Acacia lauta",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia lazaridis","Acacia lazaridis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia leiocalyx","Acacia leiocalyx",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia leprosa","Acacia leprosa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia leptalea","Acacia leptalea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia leptoclada","Acacia leptoclada",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia leptopetala","Acacia leptopetala",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia leucoclada","Acacia leucoclada",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia leucolobia","Acacia leucolobia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia ligulata","Acacia ligulata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia lineata","Acacia lineata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia linifolia","Acacia linifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia loderi","Acacia loderi",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia longifolia","Acacia longifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia longispinea","Acacia longispinea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia longissima","Acacia longissima",1,1,"False",FALSE,FALSE,FALSE,FALSE
